	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
NEMF	1.101	0.943	0.927	0.912	1.077	1.081	0.846	0.86	1.081
NMT2	NA	NA	NA	NA	NA	NA	NA	0.903	NA
GREM1	NA	1.016	NA	NA	1.071	NA	NA	0.929	0.845
BUB1B	1.173	NA	NA	0.867	NA	NA	0.958	NA	NA
PLOD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
IF4E2	NA	0.931	NA	NA	1.151	1.234	0.837	0.859	NA
CCNT2	NA	NA	NA	NA	NA	1.26	NA	NA	NA
DIAP1	1.083	0.932	1.394	0.791	1.066	1.595	0.81	0.832	1.579
SEP15	NA	NA	0.999	NA	NA	NA	NA	NA	NA
TSN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
EXOC3	NA	NA	1.18	NA	NA	1.344	NA	NA	1.246
PDE8A	NA	NA	1.749	NA	NA	1.867	NA	NA	2.082
PLIN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAD1	1.389	NA	0.687	0.872	NA	0.982	0.502	NA	NA
JAK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAFK	NA	0.993	NA	NA	NA	NA	NA	NA	NA
ANM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMA7	0.713	0.955	0.967	0.777	0.966	1.067	0.824	0.591	0.94
UGDH	NA	1.002	NA	NA	1.032	1.27	NA	0.907	1.351
ABCC9	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPXN	NA	0.962	NA	NA	1.171	0.988	NA	0.894	NA
CTND1	NA	NA	NA	0.981	NA	NA	NA	NA	NA
ICMT	NA	NA	0.861	NA	NA	NA	NA	NA	NA
EIF1B	1.13	NA	NA	0.981	1.541	NA	0.855	1.04	NA
SNX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPM1	NA	NA	NA	NA	1.199	NA	NA	0.78	NA
RT14	NA	0.941	NA	1.001	1.092	1.13	0.818	0.858	NA
TOM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
H2B1K	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCD22	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRAF2	NA	0.947	0.96	NA	1.229	NA	NA	0.672	NA
DKC1	NA	NA	NA	NA	NA	1.142	NA	NA	NA
IF2P	1.033	NA	1.078	NA	1.086	NA	NA	0.852	1.182
EDF1	NA	1.058	NA	NA	1.21	NA	NA	NA	NA
DIAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNJA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRD4	NA	NA	NA	0.996	1.256	NA	NA	NA	NA
CUTA	NA	1.015	NA	NA	1.104	NA	NA	0.82	NA
OPHN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PP1RB	NA	NA	NA	NA	NA	NA	NA	0.757	NA
NBN	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOL3	NA	0.995	NA	NA	1.101	NA	NA	0.98	NA
MITF	1.098	NA	0.966	1.036	NA	0.989	0.915	0.891	1.296
WDR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP9A	NA	NA	NA	NA	NA	NA	NA	NA	NA
N4BP1	NA	1.226	NA	1.134	NA	NA	NA	NA	NA
ROCK2	NA	NA	NA	NA	1.127	NA	NA	0.704	NA
CLAP2	NA	NA	0.731	NA	NA	NA	NA	NA	NA
CPNE3	NA	0.867	NA	NA	1.021	1.049	NA	0.836	1.119
ATG13	1.144	0.958	0.957	0.904	1.096	1.11	0.809	0.92	1.115
BRE1B	NA	0.968	NA	0.829	NA	NA	0.871	NA	NA
PHF2	NA	NA	NA	NA	NA	NA	NA	0.849	NA
ZC11A	1.199	NA	1.031	NA	NA	NA	0.86	NA	1.212
CLU	NA	NA	NA	NA	NA	NA	NA	NA	NA
T22D2	1.153	NA	NA	0.983	NA	NA	0.88	NA	NA
KDM4A	NA	0.904	NA	NA	1.334	NA	NA	1.579	NA
DJC13	NA	0.407	2.824	3.311	NA	3.664	2.747	NA	NA
PHAR2	NA	1	NA	1.107	1.094	1.121	0.901	0.874	NA
PP6R2	NA	0.993	NA	NA	1.212	NA	NA	NA	NA
CNOT3	NA	NA	1.081	NA	NA	1.548	NA	NA	0.707
ANR17	NA	0.97	NA	NA	NA	NA	NA	0.88	NA
DNJB6	NA	NA	1.192	NA	NA	1.295	NA	NA	NA
XYLB	NA	1.187	NA	0.95	1.075	NA	NA	NA	NA
GGCT	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUS7	0.726	NA	0.861	NA	NA	1.334	0.524	NA	1.005
NDUS2	NA	NA	NA	NA	NA	NA	NA	NA	1.196
ZPR1	1.071	0.949	0.992	0.89	1.076	1.13	0.842	0.845	1.038
NIPS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEM7A	NA	NA	1.143	NA	1.279	1.313	0.895	1.033	1.269
PDCD6	1.142	NA	NA	NA	NA	NA	0.567	NA	NA
TBCA	NA	NA	NA	0.998	1.174	NA	0.909	NA	NA
VATG1	1.056	0.974	0.991	0.897	1.081	1.122	0.931	0.811	1.093
VPS4B	NA	0.967	0.876	0.9	1.081	1.173	0.844	0.875	1.158
MPU1	1.198	NA	NA	0.984	1.152	NA	0.931	0.877	NA
ZN217	NA	NA	0.916	NA	NA	NA	NA	0.755	NA
H2AY	NA	NA	NA	0.882	NA	NA	0.902	NA	NA
SH3L1	1.099	0.958	NA	0.949	1.066	1.211	0.893	0.847	NA
FLNB	NA	0.941	NA	1.058	NA	NA	0.94	NA	NA
NCOR1	1.114	0.885	0.751	NA	1.212	0.942	0.691	0.757	NA
VAMP4	NA	NA	NA	NA	NA	1.5	NA	NA	NA
NDUS6	1.495	NA	0.956	NA	NA	1.741	NA	NA	NA
PEX14	NA	1.014	NA	NA	NA	NA	NA	NA	NA
TRIM3	NA	NA	NA	NA	NA	NA	NA	NA	1.143
ULK1	NA	0.968	NA	0.884	1.047	NA	0.884	0.85	NA
CISY	1.453	0.701	1.173	1.369	0.802	1.431	1.224	0.615	1.411
SPAG7	1.21	0.944	0.971	0.938	1.063	1.129	0.793	0.838	NA
SC22B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PR40A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TACC1	1.014	0.907	0.986	0.901	1.109	1.167	0.946	0.821	1.092
GGYF1	NA	NA	1.084	NA	NA	NA	NA	NA	NA
LRCH4	1.038	NA	0.879	0.727	NA	1.298	NA	NA	NA
MTX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VP26A	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPPB	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED24	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSIP1	1.117	0.951	NA	1.016	1.117	NA	NA	0.868	NA
ERLN1	NA	NA	NA	0.809	NA	NA	NA	NA	NA
NDUS3	NA	1.033	NA	1.062	1.153	1.293	NA	0.948	NA
SRS10	NA	0.827	NA	NA	1.076	NA	NA	NA	NA
CLN5	NA	0.885	0.825	0.97	1.019	NA	0.87	NA	NA
HSBP1	NA	1.013	NA	NA	1.105	1.085	NA	0.741	0.893
TNR21	NA	0.867	NA	NA	1.001	1.03	0.828	NA	NA
ECI2	1.168	0.961	1.107	1.006	1.139	1.277	0.935	0.849	1.252
KHDR3	1.188	0.949	NA	1.01	1.171	NA	0.918	0.896	1.24
TADA3	1.219	0.986	1.082	1.075	1.101	1.29	0.913	0.919	1.23
BAF	NA	1.013	NA	NA	1.004	1.142	NA	0.844	NA
SF3B1	1.069	0.95	1.061	0.963	1.412	1.212	0.891	0.818	1.013
CSDE1	NA	NA	1.257	NA	NA	1.55	1.038	NA	1.552
PRKRA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KS6A5	NA	NA	NA	NA	NA	NA	0.848	NA	NA
MYCB2	NA	NA	1.094	NA	NA	1.137	NA	NA	1.199
NPM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYPA1	NA	NA	NA	NA	1.117	NA	NA	NA	NA
U520	NA	NA	NA	NA	NA	NA	NA	0.848	NA
TIPRL	NA	NA	NA	NA	NA	NA	NA	NA	NA
OFD1	NA	NA	3.336	NA	NA	1.14	NA	NA	6.01
TM1L1	NA	NA	8.044	NA	NA	4.732	NA	NA	NA
KS6A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SURF6	NA	NA	1.023	NA	1.099	NA	NA	0.811	1.166
PPM1B	NA	NA	0.766	NA	NA	1.244	NA	NA	NA
UTP20	NA	1.122	NA	0.831	NA	1.185	0.775	NA	NA
NU155	NA	0.443	NA	NA	0.75	NA	NA	0.79	NA
WDHD1	1.155	1.075	0.972	1.104	1.222	1.15	0.985	0.986	1.155
CRTAP	1.25	0.924	0.973	0.932	1.003	1.114	0.903	0.822	1.022
CMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPA1	NA	NA	1.087	NA	NA	NA	0.758	NA	NA
RENR	NA	NA	0.809	NA	NA	NA	NA	NA	NA
CD123	NA	0.884	NA	NA	0.999	NA	NA	NA	NA
BCAR3	0.946	NA	0.949	NA	NA	1.19	NA	NA	0.82
POP7	1.22	0.934	1.065	1.039	1.115	1.139	0.858	0.837	1.246
EIF3G	1.124	1.036	1.239	1.034	1.168	1.224	0.926	0.915	NA
EIF3J	NA	NA	NA	NA	1.15	NA	NA	NA	NA
CBR3	NA	NA	NA	NA	NA	1.13	NA	NA	NA
PSD10	NA	0.858	NA	NA	NA	NA	NA	NA	NA
FACE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPR37	NA	NA	NA	NA	NA	NA	0.934	NA	NA
IDHC	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGAT1	1.168	0.645	NA	NA	NA	NA	1.075	NA	NA
CCNK	1.079	0.724	0.95	0.812	0.932	1.182	0.809	0.834	1.091
PRAF3	NA	0.892	NA	0.943	0.849	NA	1.034	0.814	NA
PIAS1	NA	0.903	NA	NA	1.163	NA	NA	NA	NA
SPF27	NA	0.903	0.818	NA	1.034	NA	NA	0.853	0.99
DCTN3	1.268	NA	NA	NA	NA	NA	NA	NA	NA
DNJC8	NA	0.907	0.918	0.915	1.089	1.026	0.953	0.827	1.055
SPF30	1.051	0.964	0.884	0.98	0.992	1.111	0.817	0.901	1.023
ATP5H	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLOT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIO	NA	NA	NA	NA	NA	1.107	NA	NA	NA
ATP5L	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPDZ	NA	NA	NA	NA	NA	NA	NA	NA	1.108
CBPD	NA	NA	0.846	NA	NA	1.087	NA	NA	NA
GLRX3	2.144	NA	0.924	0.853	NA	1.076	0.761	NA	0.756
KRT34	NA	NA	NA	1.093	NA	NA	NA	NA	NA
RL1D1	1.006	NA	NA	0.879	NA	NA	0.796	NA	NA
WFS1	NA	NA	NA	0.843	NA	NA	0.782	NA	NA
CLPX	NA	NA	NA	NA	NA	NA	NA	NA	NA
STC2	NA	NA	NA	0.847	NA	1.347	0.95	NA	NA
CIAO1	1.174	0.949	1.005	0.953	1.096	1.256	0.835	0.856	1.211
PDE5A	1.119	NA	0.95	NA	NA	1.149	NA	NA	1.076
ZFAN5	1.123	0.928	1.009	0.952	1.073	1.158	0.858	0.819	1.083
SRP72	NA	NA	1.133	NA	NA	1.13	NA	NA	NA
DDAH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RECQ5	1.239	0.938	1.012	0.922	1.176	1.368	0.85	0.938	1.397
RMP	1.158	1.004	0.989	1.076	0.338	1.169	0.976	NA	0.495
B3GA3	NA	NA	NA	NA	NA	NA	NA	NA	1.265
MTA2	1.104	1.203	NA	0.974	1.201	NA	0.797	0.878	NA
UBP1	NA	NA	NA	NA	NA	NA	NA	NA	4.004
STK10	NA	NA	NA	NA	NA	1.138	NA	NA	NA
KPCD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLIT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG12	1.253	NA	NA	0.967	NA	1.351	1.028	NA	1.515
LTN1	1.672	1.048	0.984	2.412	0.816	1.239	NA	0.788	NA
TOM70	NA	0.903	NA	NA	1.041	NA	NA	0.907	NA
IPO13	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYO1D	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOX4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MICA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
K0754	NA	NA	1.426	NA	NA	1.578	NA	NA	1.797
SC24D	NA	NA	NA	NA	NA	1.019	NA	NA	1.235
ST65G	1.077	0.835	2.456	1.359	1.816	1.314	0.84	0.938	2.938
FCSD2	NA	NA	NA	NA	NA	NA	0.941	NA	NA
UFL1	1.145	0.936	0.894	1.001	0.996	1.035	0.875	0.882	NA
TMCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SASH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSCL1	NA	1.01	NA	NA	1.212	NA	NA	NA	1.354
FARP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBXN7	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUN1	1.101	NA	1.102	NA	NA	1.207	0.922	NA	NA
PLPHP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERLN2	NA	NA	NA	NA	1.462	NA	NA	NA	NA
PRP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCF11	1.116	NA	0.932	1.102	NA	1.438	0.992	0.847	1.098
FRYL	NA	NA	1.069	NA	NA	1.166	NA	NA	NA
NFAT5	NA	1.032	NA	NA	NA	NA	NA	NA	NA
ENDD1	NA	1.243	NA	NA	NA	NA	NA	NA	0.963
CDK14	NA	0.947	NA	NA	1.131	NA	NA	0.772	NA
GLCE	1.317	1.098	1.165	1.01	1.104	1.272	0.94	0.88	1.281
GLSK	NA	NA	0.78	1.148	NA	0.933	1.003	NA	0.962
ABLM3	NA	NA	0.853	NA	NA	0.929	0.782	NA	1.108
SOGA1	1.179	NA	NA	NA	NA	NA	NA	NA	NA
WDR47	1.003	NA	1.324	NA	NA	1.307	NA	NA	NA
TRI37	0.748	NA	NA	0.783	NA	NA	NA	NA	22.439
AP2A2	NA	1.031	NA	NA	1.303	1.063	NA	0.903	NA
SC31A	NA	NA	0.861	NA	NA	1.063	0.756	0.806	1.103
CMTA2	NA	NA	0.952	NA	NA	0.969	NA	NA	NA
FA13A	1.346	1.281	NA	0.853	NA	1.199	NA	1.127	1.256
ARHGF	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEXI1	1.385	0.906	1.087	0.925	1.117	1.208	0.826	0.805	1.247
DIRA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK2	NA	0.9	NA	NA	1.066	NA	NA	0.915	NA
YIF1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBR5	4.555	0.556	NA	5.751	0.495	9.984	2.014	NA	13.879
SCAF4	NA	NA	NA	0.796	NA	NA	NA	NA	NA
MFN2	NA	0.983	NA	1.031	NA	NA	NA	NA	NA
SPN1	0.912	0.94	0.926	0.986	1.127	1.297	0.847	0.865	1.172
UBE4B	NA	NA	0.898	NA	NA	1.227	NA	NA	1.071
ZFPL1	1.085	0.958	NA	0.94	1.082	1.051	0.861	0.933	0.943
ELP1	NA	NA	0.965	NA	NA	1.007	NA	NA	NA
UBL3	NA	1.095	NA	NA	1.142	0.899	NA	0.865	NA
NDUB4	NA	NA	NA	NA	NA	1.216	NA	NA	NA
NDUB8	NA	0.975	NA	NA	1.299	NA	NA	0.875	NA
NDUA7	NA	NA	1.03	0.908	NA	1.308	0.782	NA	1.274
VAMP5	46.846	0.931	1.088	0.909	1.052	NA	NA	0.886	1.017
RTN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LETM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
STBD1	NA	0.959	NA	0.928	1.11	0.999	0.808	0.859	NA
ZRAB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX4	NA	0.911	NA	NA	1.041	NA	NA	0.848	NA
ZWINT	NA	NA	1.179	0.93	NA	NA	NA	NA	1.141
LC7L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
KI20A	1.322	0.583	2.185	1.411	0.661	3.032	1.112	0.407	2.782
KIF4A	NA	0.803	NA	NA	1.016	NA	NA	NA	NA
MTMR5	NA	1.144	NA	NA	NA	NA	NA	NA	NA
GOSR1	NA	NA	1.396	1.139	NA	1.306	NA	NA	1.089
KAT7	1.229	1.037	0.938	0.949	1.118	1.275	0.923	1.363	1.274
TNKS1	1.515	NA	1.326	0.931	NA	1.541	0.93	NA	1.189
VAPB	NA	0.947	1.029	NA	1.087	1.102	NA	0.853	1.115
SNAPN	NA	0.939	NA	NA	NA	NA	NA	NA	NA
MPZL1	NA	NA	0.886	NA	NA	NA	NA	NA	NA
NDUAA	0.871	NA	1.038	0.942	1.181	1.106	0.854	NA	1.067
FKBP9	NA	0.934	NA	NA	NA	NA	NA	NA	NA
CELF2	1.124	NA	NA	NA	NA	NA	NA	NA	NA
6PGL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAPS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMC2	NA	0.913	NA	NA	NA	NA	NA	NA	1.155
ATG7	NA	0.961	1.319	NA	1.077	1.289	NA	0.666	0.974
TACC2	NA	NA	1.062	NA	NA	1.348	NA	NA	1.071
TRI16	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBT7A	NA	NA	NA	NA	1.17	NA	NA	0.825	NA
LYPA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPO7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARI2	NA	0.896	NA	NA	NA	NA	NA	NA	NA
TFIP8	1.283	NA	1.23	1.167	NA	0.909	0.763	NA	1.259
M3K6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLU7	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGM1	NA	NA	NA	NA	NA	1.145	NA	NA	NA
CD2B2	NA	NA	NA	NA	NA	1.417	NA	NA	1.154
MED26	NA	0.897	NA	NA	NA	NA	NA	NA	NA
SVIL	NA	NA	NA	NA	NA	NA	0.931	NA	NA
BAG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHSA1	0.957	1.186	NA	0.87	1.32	0.86	0.868	1.042	0.692
PARN	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMG1	1.432	NA	0.944	NA	NA	1.113	NA	NA	0.902
FMNL1	NA	0.956	NA	NA	NA	NA	NA	NA	NA
NSA2	NA	0.928	0.878	NA	NA	0.745	0.318	NA	1.04
G6PE	NA	0.946	NA	NA	1.078	NA	NA	NA	NA
SC24A	NA	0.983	NA	NA	1.114	NA	0.966	0.816	3.314
SC24B	NA	NA	NA	NA	NA	NA	NA	0.795	NA
AGRL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBX6	1.088	0.918	0.953	0.792	1.094	1.355	NA	0.846	1.105
GTR10	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADK	NA	0.894	NA	0.74	1.153	NA	0.783	0.937	NA
SFT2B	NA	0.949	NA	0.895	1.108	0.609	0.72	0.894	NA
MPC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETHE1	NA	0.923	NA	NA	1.145	NA	0.658	0.838	NA
ACSL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPA1	NA	NA	NA	0.974	1.091	1.448	0.845	0.891	1.034
PCNT	NA	0.917	1.111	NA	1.083	1.186	NA	0.827	NA
ADCY5	1.106	1.057	NA	0.913	1.101	NA	0.792	0.94	NA
ZBT11	NA	NA	NA	NA	NA	0.544	NA	NA	NA
CNOT4	NA	NA	NA	NA	NA	1.305	NA	NA	NA
CPSF4	NA	NA	NA	NA	2.617	NA	NA	NA	NA
NFAC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIRA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASML	1.148	NA	0.877	NA	NA	1.11	NA	NA	1.021
CDS2	NA	NA	NA	NA	NA	1.025	NA	NA	NA
EYA4	NA	NA	1.029	NA	NA	NA	NA	NA	NA
CEP43	1.231	0.945	1.067	NA	1.011	1.204	NA	0.842	1.209
PPR3D	0.96	0.979	1	0.992	1.215	1.144	1.105	0.877	1.126
RPP29	NA	NA	NA	NA	NA	NA	NA	NA	1.263
HERC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB3D	NA	1.035	NA	1.38	1.038	NA	1.063	NA	NA
SNP29	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1	1.145	NA	1.125	0.997	1.164	NA	1.003	1.023	1.127
HS74L	NA	0.94	NA	NA	NA	1.198	0.666	0.829	1.12
PTBP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
STR3N	NA	0.992	NA	0.865	NA	NA	0.796	NA	NA
LSM8	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP2A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WIZ	NA	NA	NA	NA	NA	2.855	NA	NA	NA
DDX58	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAU1	NA	NA	NA	NA	NA	1.102	NA	NA	NA
TTC4	NA	NA	1.08	NA	NA	1.328	NA	NA	1.275
TM50A	NA	0.977	NA	0.969	1.24	NA	0.911	0.778	NA
CAVN2	NA	0.824	NA	NA	NA	NA	NA	NA	NA
BAG2	NA	0.806	NA	NA	NA	NA	NA	NA	NA
BAG3	NA	NA	NA	NA	NA	NA	NA	NA	NA
M4K4	NA	NA	NA	NA	NA	NA	NA	NA	1.316
AIFM1	1.094	1.018	NA	0.961	1.179	NA	0.855	NA	1.029
EMAL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LATS1	NA	1.13	0.963	0.964	0.794	1.179	0.842	NA	1.222
GNA14	NA	0.731	NA	NA	NA	NA	NA	NA	NA
BPNT1	NA	NA	0.566	NA	NA	0.82	NA	NA	0.761
SNAI1	NA	NA	1.665	NA	NA	1.721	NA	NA	1.321
FADS2	NA	0.929	0.995	1.008	1.085	1.129	0.779	0.901	1.045
DDAH2	NA	1.095	NA	NA	NA	NA	NA	NA	NA
ABHGA	NA	1.185	NA	NA	NA	NA	NA	NA	1.138
TXD12	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBLN4	1.246	NA	NA	1.132	NA	NA	0.922	NA	NA
RECK	NA	1.001	NA	0.848	1.37	NA	0.35	0.688	NA
NUDT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCL10	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUBA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLPT1	NA	0.941	NA	1.239	1.265	NA	0.661	0.88	NA
MOC2B	1.079	0.935	NA	0.857	1.063	1.07	0.913	0.841	1.098
TOM40	1.386	NA	1.244	NA	NA	1.348	NA	NA	1.322
PX11B	1.093	0.944	NA	0.969	1.075	NA	0.797	0.836	1.094
PAK4	NA	0.939	NA	NA	1.087	1.102	NA	0.86	1.063
APBA3	1.273	0.899	NA	0.983	1.05	NA	0.966	0.961	NA
ACL6A	NA	NA	NA	NA	1.253	NA	NA	0.928	NA
CYB5	0.965	0.758	NA	0.843	NA	NA	0.723	0.687	1.042
LDHA	NA	0.94	NA	NA	1.102	NA	NA	0.856	NA
DHE3	NA	NA	NA	NA	NA	1.087	NA	NA	NA
DYR	NA	NA	NA	NA	NA	NA	NA	NA	NA
NB5R3	NA	NA	NA	0.664	NA	NA	0.941	NA	NA
GSHR	NA	0.964	NA	NA	1.209	NA	NA	NA	NA
COX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SODC	NA	1.011	1.051	0.925	1.036	1.119	NA	0.818	1.104
PNPH	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPRT	NA	NA	1	0.96	NA	NA	0.883	NA	1.109
AATM	1.136	NA	NA	NA	1.176	NA	NA	NA	NA
ABL1	NA	NA	0.789	NA	NA	1.002	NA	NA	NA
EGFR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGK1	NA	1.031	NA	NA	1.057	1.168	NA	NA	NA
KAD1	NA	0.881	NA	NA	1.075	NA	NA	1.004	NA
THRB	NA	NA	NA	NA	NA	NA	NA	NA	NA
UROK	NA	NA	1.081	NA	NA	1.027	0.66	NA	0.996
ASSY	1.116	0.936	0.933	0.938	1.132	1.105	0.872	0.85	1.08
ANT3	NA	NA	NA	27.774	NA	NA	NA	NA	NA
A2MG	NA	NA	1.226	NA	NA	1.186	NA	NA	1.198
CO3	1.206	NA	NA	1.015	1.193	NA	1.016	0.67	NA
TIMP1	1.338	NA	NA	NA	NA	NA	NA	NA	NA
KNG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYC	NA	0.923	NA	1.006	1.04	NA	NA	0.838	NA
RASN	NA	1.01	1.094	NA	1.228	1.237	NA	0.893	1.074
RASH	NA	NA	NA	NA	NA	NA	NA	NA	1.246
RASK	NA	NA	NA	NA	NA	1.058	NA	NA	NA
LDLR	NA	1.005	NA	0.735	2.06	NA	0.634	1.034	NA
TGFB1	1.088	0.946	0.935	0.957	1.155	1.218	0.899	0.822	1.2
CO1A1	NA	1.036	NA	NA	1.04	NA	NA	0.835	NA
CO2A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CO3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRYAB	NA	NA	NA	NA	1.601	NA	NA	NA	NA
K1C14	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMNA	NA	NA	NA	NA	NA	NA	NA	0.799	NA
APOE	NA	NA	NA	NA	1.169	NA	NA	0.902	NA
APOC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FINC	1.126	1.017	0.999	0.954	1.012	1.296	0.973	0.797	1.294
FETUA	1.094	0.945	1.048	0.924	1.056	NA	0.906	0.806	NA
ALBU	NA	NA	NA	NA	NA	NA	NA	NA	NA
FETA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VTDB	NA	0.926	NA	NA	NA	NA	NA	NA	NA
TFR1	NA	NA	1.07	NA	NA	1.27	NA	NA	1.259
TRFL	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEMO	NA	NA	NA	NA	NA	NA	NA	NA	NA
FRIL	NA	NA	NA	NA	NA	NA	NA	NA	NA
FRIH	NA	NA	NA	NA	NA	NA	NA	NA	NA
VTNC	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAF1	NA	0.923	NA	NA	1.063	NA	NA	0.832	NA
GLCM	NA	0.888	NA	NA	1.167	1.195	NA	0.881	0.95
ALDOA	NA	0.919	0.786	NA	1.111	1.158	NA	0.837	NA
CYTB	NA	0.966	NA	0.97	1.054	NA	0.844	1.007	NA
ANXA1	1.038	0.918	1	0.889	1.06	1.099	0.814	0.854	1.061
APOB	1.106	0.927	NA	NA	NA	NA	NA	NA	NA
GCR	NA	NA	NA	NA	NA	NA	NA	NA	NA
SODM	NA	NA	NA	NA	NA	NA	NA	NA	NA
OAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
KITH	NA	NA	NA	NA	NA	NA	NA	NA	NA
THY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
K2C6B	1.23	NA	0.988	1.369	NA	1.214	1.421	NA	1.192
K2C1	NA	NA	NA	0.808	NA	NA	NA	NA	NA
G3P	NA	NA	NA	NA	1.059	1.152	0.99	NA	1.103
