"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"PDPK1" 0.185383333333333 1.02201458333333 2.00005412923319 0.167156613945321 1 -4.22398080643404
"TNKS1" -0.306933333333333 1.22687453703704 -1.86510119006432 0.130766186721321 1 -4.22504974799579
"UFC1" 0.149783333333333 1.16375625 1.99731713820413 0.167529709229538 1 -4.22537961628253
"ENAH" 0.286466666666667 0.837675 2.49552821450116 0.195145719190266 1 -4.22688759524705
"MTND" -0.162933333333333 0.869005 -1.90744661825372 0.144378890015065 1 -4.22956476922106
"FAHD1" -0.345116666666667 0.857768981481481 -1.85586391168544 0.132221099843557 1 -4.23308565064708
"CATB" 0.176233333333333 1.03222239229025 1.82324158488691 0.124678151577792 1 -4.23672687808947
"PHC2" -0.227166666666667 1.09704444444444 -1.89498599334492 0.146259845950539 1 -4.23916140623218
"NUP54" -0.166933333333333 1.024205 -1.89464239962331 0.146312105345692 1 -4.23942639300435
"TBB4B" 0.277466666666667 1.54634166666667 2.41712553613075 0.202297311968963 1 -4.24237109471437
"NUDT9" -0.290433333333333 0.91320787037037 -1.8420332483213 0.134431630471288 1 -4.24513022924843
"PP4R4" 0.58845 1.19460674603175 1.83814373162761 0.122254352327455 1 -4.24669793189232
"SCML2" -0.272666666666667 1.15199206349206 -2.37531077433319 0.206292555539856 1 -4.25101590011703
"TNIP1" 0.271466666666667 1.23936666666667 2.36485708388381 0.207311954271847 1 -4.25322070170644
"MOONR" 0.18895 1.10017291666667 1.94262140479093 0.17521461833513 1 -4.25370322570075
"ALKB5" 0.269066666666667 0.80920787037037 1.8285937100967 0.136617113679087 1 -4.25684805009579
"RHG24" 0.26 0.952382936507936 1.95784668834878 0.173030877807773 1 -4.25697667781355
"SLBP" -0.268533333333333 1.063675 -2.33930361834086 0.209839441835258 1 -4.2586852221791
"ZC3H4" -0.224716666666667 0.966849444444444 -1.83701717517957 0.155383868786413 1 -4.25932178163617
"SC61G" -5.24958333333333 3.80605301587302 -1.8298950907977 0.156548596279593 1 -4.2640764375568
"LYRIC" 0.265666666666667 0.886407407407407 2.31433091337843 0.212359398727964 1 -4.26413013610332
"DRG2" 0.187783333333334 1.09875625 1.91898248778174 0.178675339727916 1 -4.26616206750526
"ICLN" 1.39723333333333 1.42368209325397 1.79956803222402 0.119757337196723 1 -4.26742283636726
"SH3G1" 0.136377777777778 1.06183963844797 1.8235865876967 0.109300751865902 1 -4.26851498938842
"TMED2" -0.263 0.864436507936508 -2.29110049015757 0.214749008062219 1 -4.26928986866592
"OFUT2" 0.261 1.12176984126984 2.27367767274192 0.216570648548489 1 -4.27322063741021
"QCR6L" 0.260466666666667 0.959008333333333 2.26903158809775 0.217060749302846 1 -4.27427777646944
"WDR7" -0.26 1.01143650793651 -2.2649662640341 0.217491096994579 1 -4.27520588058657
"PCDGK" 0.259 1.07743650793651 2.25625485532627 0.218418044491924 1 -4.27720448695064
